




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6217)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
RNA splicing (GO:0008380)	409	237	123.46	+	1.92	5.54E-15	7.89E-13
ubiquitin-dependent ERAD pathway (GO:0030433)	76	44	22.94	+	1.92	1.02E-03	2.92E-02
protein-containing complex disassembly (GO:0032984)	228	132	68.83	+	1.92	7.57E-09	5.67E-07
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	41	21.43	+	1.91	1.51E-03	4.09E-02
RNA modification (GO:0009451)	172	99	51.92	+	1.91	6.89E-07	3.87E-05
nuclear membrane organization (GO:0071763)	73	42	22.04	+	1.91	1.22E-03	3.41E-02
peptidyl-lysine methylation (GO:0018022)	86	49	25.96	+	1.89	6.59E-04	2.02E-02
mRNA processing (GO:0006397)	486	276	146.71	+	1.88	2.06E-16	3.43E-14
cell aging (GO:0007569)	76	43	22.94	+	1.87	1.46E-03	3.97E-02
protein targeting (GO:0006605)	322	182	97.20	+	1.87	3.90E-11	3.83E-09
protein methylation (GO:0006479)	131	74	39.54	+	1.87	2.84E-05	1.21E-03
protein alkylation (GO:0008213)	131	74	39.54	+	1.87	2.84E-05	1.21E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	76	40.75	+	1.86	2.53E-05	1.09E-03
aerobic respiration (GO:0009060)	160	90	48.30	+	1.86	5.15E-06	2.48E-04
amide biosynthetic process (GO:0043604)	537	302	162.10	+	1.86	1.77E-17	3.25E-15
establishment of protein localization to mitochondrion (GO:0072655)	77	43	23.24	+	1.85	1.59E-03	4.28E-02
nucleotide-excision repair (GO:0006289)	104	58	31.39	+	1.85	2.53E-04	8.64E-03
regulation of gene silencing by RNA (GO:0060966)	97	54	29.28	+	1.84	4.57E-04	1.45E-02
establishment of protein localization to membrane (GO:0090150)	313	174	94.49	+	1.84	3.28E-10	2.94E-08
signal transduction by p53 class mediator (GO:0072331)	119	66	35.92	+	1.84	1.10E-04	4.13E-03
peptidyl-lysine acetylation (GO:0018394)	119	66	35.92	+	1.84	1.10E-04	4.12E-03
histone acetylation (GO:0016573)	110	61	33.21	+	1.84	2.45E-04	8.44E-03
ERAD pathway (GO:0036503)	92	51	27.77	+	1.84	6.84E-04	2.08E-02
mitotic sister chromatid segregation (GO:0000070)	121	67	36.53	+	1.83	1.19E-04	4.43E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	187	102.03	+	1.83	9.29E-11	8.90E-09
protein localization to mitochondrion (GO:0070585)	85	47	25.66	+	1.83	1.25E-03	3.47E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	111	60.68	+	1.83	6.88E-07	3.90E-05
mitotic nuclear division (GO:0140014)	201	111	60.68	+	1.83	6.88E-07	3.88E-05
regulation of posttranscriptional gene silencing (GO:0060147)	96	53	28.98	+	1.83	6.05E-04	1.87E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	48	26.26	+	1.83	1.39E-03	3.83E-02
positive regulation of mRNA metabolic process (GO:1903313)	136	75	41.05	+	1.83	5.20E-05	2.11E-03
establishment of protein localization to organelle (GO:0072594)	394	217	118.94	+	1.82	3.83E-12	4.07E-10
sister chromatid segregation (GO:0000819)	149	82	44.98	+	1.82	2.09E-05	9.11E-04
regulation of mRNA processing (GO:0050684)	140	77	42.26	+	1.82	4.66E-05	1.90E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	61	33.51	+	1.82	2.61E-04	8.85E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	50	27.47	+	1.82	9.04E-04	2.64E-02
histone methylation (GO:0016571)	91	50	27.47	+	1.82	9.04E-04	2.64E-02
negative regulation of translation (GO:0017148)	184	101	55.54	+	1.82	2.70E-06	1.37E-04
proteasomal protein catabolic process (GO:0010498)	361	198	108.97	+	1.82	4.49E-11	4.38E-09
nuclear envelope organization (GO:0006998)	84	46	25.36	+	1.81	1.65E-03	4.42E-02
peptidyl-lysine modification (GO:0018205)	305	167	92.07	+	1.81	1.52E-09	1.27E-07
telomere maintenance (GO:0000723)	99	54	29.89	+	1.81	7.07E-04	2.14E-02
centrosome cycle (GO:0007098)	88	48	26.56	+	1.81	1.46E-03	3.98E-02
regulation of proteasomal protein catabolic process (GO:0061136)	187	102	56.45	+	1.81	3.14E-06	1.58E-04
telomere organization (GO:0032200)	103	56	31.09	+	1.80	6.28E-04	1.93E-02
internal peptidyl-lysine acetylation (GO:0018393)	116	63	35.02	+	1.80	2.50E-04	8.56E-03
regulation of gene silencing by miRNA (GO:0060964)	94	51	28.38	+	1.80	1.05E-03	3.00E-02
peptide metabolic process (GO:0006518)	544	295	164.22	+	1.80	1.74E-15	2.64E-13
regulation of translation (GO:0006417)	415	225	125.28	+	1.80	4.33E-12	4.53E-10
nuclear transport (GO:0051169)	264	143	79.69	+	1.79	4.12E-08	2.77E-06
positive regulation of response to DNA damage stimulus (GO:2001022)	109	59	32.90	+	1.79	4.51E-04	1.44E-02
macromolecule methylation (GO:0043414)	257	139	77.58	+	1.79	7.43E-08	4.87E-06
RNA metabolic process (GO:0016070)	1582	855	477.56	+	1.79	2.11E-44	1.75E-41
cellular respiration (GO:0045333)	187	101	56.45	+	1.79	4.38E-06	2.14E-04
microtubule organizing center organization (GO:0031023)	100	54	30.19	+	1.79	7.63E-04	2.29E-02
endoplasmic reticulum organization (GO:0007029)	102	55	30.79	+	1.79	8.24E-04	2.46E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	55	30.79	+	1.79	8.24E-04	2.45E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	62	34.71	+	1.79	3.28E-04	1.10E-02
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	62	34.71	+	1.79	3.28E-04	1.10E-02
negative regulation of cellular amide metabolic process (GO:0034249)	206	111	62.19	+	1.78	1.69E-06	8.82E-05
nucleocytoplasmic transport (GO:0006913)	261	140	78.79	+	1.78	9.06E-08	5.85E-06
cellular macromolecule catabolic process (GO:0044265)	925	496	279.23	+	1.78	8.45E-25	2.84E-22
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	89	50.11	+	1.78	1.94E-05	8.57E-04
viral process (GO:0016032)	444	238	134.03	+	1.78	2.71E-12	2.95E-10
internal protein amino acid acetylation (GO:0006475)	118	63	35.62	+	1.77	3.77E-04	1.23E-02
mitotic spindle organization (GO:0007052)	163	87	49.20	+	1.77	3.05E-05	1.28E-03
positive regulation of chromosome organization (GO:2001252)	182	97	54.94	+	1.77	1.18E-05	5.32E-04
positive regulation of translation (GO:0045727)	137	73	41.36	+	1.77	1.43E-04	5.22E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	118	67.02	+	1.76	1.43E-06	7.58E-05
regulation of TOR signaling (GO:0032006)	100	53	30.19	+	1.76	1.41E-03	3.85E-02
double-strand break repair (GO:0006302)	204	108	61.58	+	1.75	3.97E-06	1.97E-04
regulation of mRNA metabolic process (GO:1903311)	376	199	113.50	+	1.75	3.35E-10	2.99E-08
protein acetylation (GO:0006473)	138	73	41.66	+	1.75	1.53E-04	5.56E-03
protein-containing complex localization (GO:0031503)	259	137	78.18	+	1.75	2.11E-07	1.32E-05
ubiquitin-dependent protein catabolic process (GO:0006511)	545	288	164.52	+	1.75	4.05E-14	5.29E-12
RNA localization (GO:0006403)	212	112	64.00	+	1.75	3.07E-06	1.55E-04
nucleobase-containing compound catabolic process (GO:0034655)	373	197	112.60	+	1.75	5.21E-10	4.48E-08
mitochondrion organization (GO:0007005)	468	247	141.27	+	1.75	3.28E-12	3.55E-10
modification-dependent macromolecule catabolic process (GO:0043632)	563	297	169.95	+	1.75	1.99E-14	2.69E-12
regulation of mRNA stability (GO:0043488)	241	127	72.75	+	1.75	7.55E-07	4.20E-05
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	59	33.81	+	1.75	7.28E-04	2.19E-02
nucleic acid metabolic process (GO:0090304)	2217	1166	669.24	+	1.74	1.75E-57	3.07E-54
regulation of RNA stability (GO:0043487)	253	133	76.37	+	1.74	4.01E-07	2.41E-05
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	82	47.09	+	1.74	7.55E-05	2.93E-03
modification-dependent protein catabolic process (GO:0019941)	552	290	166.63	+	1.74	5.53E-14	7.11E-12
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	126	72.45	+	1.74	9.74E-07	5.29E-05
regulation of cellular amide metabolic process (GO:0034248)	479	251	144.60	+	1.74	3.94E-12	4.16E-10
regulation of mRNA catabolic process (GO:0061013)	252	132	76.07	+	1.74	5.16E-07	3.01E-05
DNA repair (GO:0006281)	531	278	160.29	+	1.73	2.44E-13	2.99E-11
posttranscriptional regulation of gene expression (GO:0010608)	581	304	175.39	+	1.73	1.82E-14	2.48E-12
regulation of DNA repair (GO:0006282)	130	68	39.24	+	1.73	3.56E-04	1.18E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	159	83	48.00	+	1.73	8.60E-05	3.29E-03
cell cycle checkpoint signaling (GO:0000075)	188	98	56.75	+	1.73	2.10E-05	9.10E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	434	226	131.01	+	1.73	6.59E-11	6.39E-09
mitochondrial membrane organization (GO:0007006)	146	76	44.07	+	1.72	1.64E-04	5.89E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	317	183.84	+	1.72	9.98E-15	1.40E-12
regulation of RNA splicing (GO:0043484)	150	78	45.28	+	1.72	1.44E-04	5.22E-03
protein localization to organelle (GO:0033365)	742	385	223.99	+	1.72	1.46E-17	2.71E-15
DNA geometric change (GO:0032392)	110	57	33.21	+	1.72	1.22E-03	3.43E-02
nucleic acid-templated transcription (GO:0097659)	531	275	160.29	+	1.72	8.04E-13	9.35E-11
positive regulation of cellular amide metabolic process (GO:0034250)	168	87	50.71	+	1.72	7.04E-05	2.77E-03
macroautophagy (GO:0016236)	199	103	60.07	+	1.71	1.42E-05	6.30E-04
regulation of stem cell differentiation (GO:2000736)	116	60	35.02	+	1.71	1.17E-03	3.29E-02
transcription, DNA-templated (GO:0006351)	530	274	159.99	+	1.71	1.03E-12	1.17E-10
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	61	35.62	+	1.71	9.41E-04	2.72E-02
RNA biosynthetic process (GO:0032774)	543	280	163.92	+	1.71	7.33E-13	8.58E-11
cellular protein catabolic process (GO:0044257)	644	332	194.40	+	1.71	5.47E-15	7.86E-13
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	69	40.45	+	1.71	4.29E-04	1.38E-02
autophagy (GO:0006914)	309	159	93.28	+	1.70	9.45E-08	6.05E-06
process utilizing autophagic mechanism (GO:0061919)	309	159	93.28	+	1.70	9.45E-08	6.02E-06
DNA integrity checkpoint signaling (GO:0031570)	150	77	45.28	+	1.70	2.56E-04	8.72E-03
macromolecule catabolic process (GO:0009057)	1058	543	319.38	+	1.70	9.21E-24	2.97E-21
DNA replication (GO:0006260)	273	140	82.41	+	1.70	6.82E-07	3.88E-05
mitotic DNA damage checkpoint signaling (GO:0044773)	119	61	35.92	+	1.70	1.00E-03	2.88E-02
mRNA transport (GO:0051028)	160	82	48.30	+	1.70	1.62E-04	5.82E-03
histone modification (GO:0016570)	363	186	109.58	+	1.70	8.71E-09	6.37E-07
covalent chromatin modification (GO:0016569)	367	188	110.79	+	1.70	7.63E-09	5.69E-07
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	63	37.13	+	1.70	8.73E-04	2.58E-02
methylation (GO:0032259)	313	160	94.49	+	1.69	1.12E-07	7.09E-06
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	94	55.54	+	1.69	5.70E-05	2.28E-03
transcription by RNA polymerase II (GO:0006366)	382	195	115.31	+	1.69	5.87E-09	4.46E-07
negative regulation of mitotic cell cycle (GO:0045930)	294	150	88.75	+	1.69	2.94E-07	1.81E-05
transport along microtubule (GO:0010970)	157	80	47.39	+	1.69	1.94E-04	6.82E-03
regulation of macroautophagy (GO:0016241)	161	82	48.60	+	1.69	1.70E-04	6.04E-03
signal transduction in response to DNA damage (GO:0042770)	167	85	50.41	+	1.69	1.23E-04	4.57E-03
spindle organization (GO:0007051)	224	114	67.62	+	1.69	9.27E-06	4.27E-04
cellular response to DNA damage stimulus (GO:0006974)	793	403	239.38	+	1.68	2.68E-17	4.71E-15
establishment of RNA localization (GO:0051236)	191	97	57.66	+	1.68	4.37E-05	1.79E-03
protein polyubiquitination (GO:0000209)	325	165	98.11	+	1.68	1.02E-07	6.46E-06
negative regulation of cell cycle phase transition (GO:1901988)	294	149	88.75	+	1.68	5.04E-07	2.96E-05
response to ionizing radiation (GO:0010212)	148	75	44.68	+	1.68	4.20E-04	1.35E-02
negative regulation of cell cycle process (GO:0010948)	368	186	111.09	+	1.67	1.87E-08	1.31E-06
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	152	90.86	+	1.67	4.99E-07	2.95E-05
viral life cycle (GO:0019058)	230	116	69.43	+	1.67	1.16E-05	5.27E-04
regulation of chromosome organization (GO:0033044)	290	146	87.54	+	1.67	7.72E-07	4.27E-05
vacuolar transport (GO:0007034)	155	78	46.79	+	1.67	3.18E-04	1.07E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	781	468.80	+	1.67	2.19E-32	1.02E-29
RNA transport (GO:0050658)	189	95	57.05	+	1.67	7.10E-05	2.79E-03
nucleic acid transport (GO:0050657)	189	95	57.05	+	1.67	7.10E-05	2.78E-03
regulation of response to DNA damage stimulus (GO:2001020)	223	112	67.32	+	1.66	2.05E-05	9.04E-04
protein catabolic process (GO:0030163)	697	350	210.40	+	1.66	1.38E-14	1.90E-12
cellular macromolecule biosynthetic process (GO:0034645)	1639	823	494.76	+	1.66	5.81E-34	3.28E-31
endosomal transport (GO:0016197)	235	118	70.94	+	1.66	1.07E-05	4.87E-04
gene expression (GO:0010467)	2117	1063	639.06	+	1.66	7.94E-45	6.98E-42
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	123	73.96	+	1.66	6.79E-06	3.20E-04
intracellular protein transport (GO:0006886)	781	392	235.76	+	1.66	3.71E-16	5.98E-14
mitotic cell cycle (GO:0000278)	750	376	226.40	+	1.66	1.93E-15	2.90E-13
mitotic cell cycle process (GO:1903047)	675	338	203.76	+	1.66	5.61E-14	7.16E-12
RNA phosphodiester bond hydrolysis (GO:0090501)	164	82	49.51	+	1.66	2.57E-04	8.73E-03
protein acylation (GO:0043543)	178	89	53.73	+	1.66	1.42E-04	5.19E-03
DNA damage checkpoint signaling (GO:0000077)	142	71	42.87	+	1.66	7.77E-04	2.33E-02
regulation of cell cycle phase transition (GO:1901987)	522	260	157.58	+	1.65	8.81E-11	8.49E-09
cell division (GO:0051301)	498	248	150.33	+	1.65	2.51E-10	2.31E-08
nucleobase-containing compound metabolic process (GO:0006139)	2705	1346	816.56	+	1.65	9.85E-57	1.56E-53
DNA-dependent DNA replication (GO:0006261)	195	97	58.86	+	1.65	8.74E-05	3.34E-03
chromatin remodeling (GO:0006338)	173	86	52.22	+	1.65	2.67E-04	9.02E-03
response to UV (GO:0009411)	151	75	45.58	+	1.65	6.23E-04	1.92E-02
cell cycle phase transition (GO:0044770)	270	134	81.50	+	1.64	4.29E-06	2.10E-04
mitotic cell cycle phase transition (GO:0044772)	262	130	79.09	+	1.64	5.61E-06	2.69E-04
energy derivation by oxidation of organic compounds (GO:0015980)	256	127	77.28	+	1.64	7.70E-06	3.59E-04
macromolecule biosynthetic process (GO:0009059)	1680	833	507.14	+	1.64	5.83E-33	2.97E-30
ATP metabolic process (GO:0046034)	206	102	62.19	+	1.64	7.49E-05	2.91E-03
regulation of mitotic cell cycle (GO:0007346)	588	291	177.50	+	1.64	9.22E-12	9.40E-10
microtubule-based transport (GO:0099111)	192	95	57.96	+	1.64	1.35E-04	4.96E-03
regulation of cell cycle G1/S phase transition (GO:1902806)	178	88	53.73	+	1.64	2.42E-04	8.40E-03
protein folding (GO:0006457)	233	115	70.34	+	1.64	2.94E-05	1.24E-03
negative regulation of cell cycle (GO:0045786)	454	224	137.05	+	1.63	3.10E-09	2.49E-07
DNA recombination (GO:0006310)	225	111	67.92	+	1.63	3.79E-05	1.57E-03
regulation of protein ubiquitination (GO:0031396)	213	105	64.30	+	1.63	5.66E-05	2.28E-03
regulation of cellular protein catabolic process (GO:1903362)	256	126	77.28	+	1.63	1.31E-05	5.87E-04
heterocycle catabolic process (GO:0046700)	417	205	125.88	+	1.63	2.08E-08	1.44E-06
cell cycle G2/M phase transition (GO:0044839)	143	70	43.17	+	1.62	1.40E-03	3.82E-02
mitochondrial transport (GO:0006839)	235	115	70.94	+	1.62	3.18E-05	1.33E-03
cellular nitrogen compound catabolic process (GO:0044270)	423	207	127.69	+	1.62	2.55E-08	1.74E-06
G2/M transition of mitotic cell cycle (GO:0000086)	141	69	42.56	+	1.62	1.31E-03	3.63E-02
nuclear chromosome segregation (GO:0098813)	227	111	68.52	+	1.62	5.30E-05	2.14E-03
cellular protein-containing complex assembly (GO:0034622)	867	422	261.72	+	1.61	1.05E-15	1.65E-13
chromosome segregation (GO:0007059)	286	139	86.33	+	1.61	7.34E-06	3.44E-04
heterocycle metabolic process (GO:0046483)	2891	1405	872.70	+	1.61	4.96E-55	7.13E-52
post-Golgi vesicle-mediated transport (GO:0006892)	136	66	41.05	+	1.61	1.91E-03	5.00E-02
DNA metabolic process (GO:0006259)	777	377	234.55	+	1.61	5.46E-14	7.08E-12
protein modification by small protein removal (GO:0070646)	295	143	89.05	+	1.61	5.85E-06	2.78E-04
aromatic compound catabolic process (GO:0019439)	438	212	132.22	+	1.60	3.17E-08	2.15E-06
cellular amide metabolic process (GO:0043603)	820	396	247.53	+	1.60	2.58E-14	3.45E-12
intracellular transport (GO:0046907)	1464	706	441.94	+	1.60	3.35E-25	1.20E-22
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	102	64.00	+	1.59	1.56E-04	5.63E-03
nucleus organization (GO:0006997)	148	71	44.68	+	1.59	1.66E-03	4.45E-02
cellular aromatic compound metabolic process (GO:0006725)	2937	1408	886.59	+	1.59	2.08E-52	2.74E-49
nucleobase-containing compound biosynthetic process (GO:0034654)	975	467	294.32	+	1.59	2.71E-16	4.41E-14
cellular nitrogen compound metabolic process (GO:0034641)	3395	1626	1024.85	+	1.59	4.38E-62	8.65E-59
